Disease name	List of shared genes
Diplopia	HNF1B;MC4R;SGSM2;EHBP1;SLC22A1;SP7;DIRC3;THADA;PCSK9;CAPSL;ZNF330;NTM;ATP8B1;BCR;FUT8;BIN1;HK1;NLRP11;NSF;RBPMS;CASQ2;GALNT3;NAT2;TAB1;
Pulmonary Fibrosis	NCALD;RAB37;DPP6;TNFAIP3;DGKH;MTHFD1L;C14orf181;LIPC;MGC87042;RELN;DIP2C;C6orf10;CIITA;PC;MAD2L1;THADA;CATSPER4;FOXO3;
Cavernous Malformations of CNS and Retina	IL23R;MGC34034;NCKAP5;HLA-DPA1;SLC4A7;KCNIP1;WLS;SLCO3A1;LPP;TNFSF15;ATM;PARD6B;HFE;DOCK7;BAK1;STARD3NL;ZGPAT;PEX5L;RAB37;
Failure to Thrive	LOC63930;CDK6;NTM;GPR133;ZNF385D;TSHR;QKI;EXOC2;MX2;TCF7L2;APBB1IP;KCNE4;SPRY2;CAMSAP1L1;EFHD1;EEFSEC;SLCO1A2;KCTD2;MCPH1;ATP10D;PALB2;GPR126;CCHCR1;PDE3A;LOC650157;PTGFR;
"Pancreatic cancer, adult"	IL7R;SPEF2;CAPSL;EIF6;PHACTR1;CYP1A1;CLVS1;CDC42EP3;FAM177B;KCNIP4;GIT2;QKI;HLA-C;EHBP1L1;
Phosphorus Metabolism Disorders	ZNF341;PTPRG;SFPQ;KCNK12;PPIL6;PALMD;SOX5;SIPA1L1;CXCR5;DENND2A;PLAG1;LHCGR;KCNJ11;SIAE;TMEM18;STAT6;ATF1;FUNDC1;PRKCZ;RARB;CUBN;BST1;
Macular Degeneration	CFH;PKN2;NUP205;EXTL2P1;SKIV2L;CETP;ZFHX3;PLCB1;TOMM40;STXBP6;CDH13;C6orf10;TNXB;NAALADL2;RUNX3;AMIGO2;SOX8;HLA-DRA;CLPTM1L;B4GALT6;DNAH11;SMAD7;LMTK2;ANKS1A;HCP5;PLEKHA1;
Hypothyroidism	FOXE1;PTPN22;ATXN2;SH2B3;CD247;HLA-DQB1;EFCAB4B;IL27;ATXN2L;BRAP;NAA25;CMTM8;SCN7A;HLA-DRB1;CMIP;CATSPER4;SKIV2L;BACH2;TMEM229B;PCSK2;NCAPD3;CTLA4;HORMAD2;MCCC1;ICOSLG;SLCO3A1;DNAH5;ADAMTS9;SOCS2;DAPK1;ILKAP;ATPBD4;LSM1;ESRRG;IL2RA;ERCC4;HELQ;PBX2;OVOL1;EEFSEC;ESR1;LASS4;C6orf15;ANXA9;GLI3;ZIC1;GC;PDLIM5;HLA-DRA;PALB2;B4GALT6;MSH5;
Breast Neoplasms	TOX3;CCR6;ADCY8;NEURL;SLC12A9;FAM91A1;TMEM57;MCCC1;IRF1;COL11A1;TMEM50A;MACROD2;COL4A1;CDC42BPB;LRP1B;MPP7;INSR;HNF1A;ABO;BTBD1;SLC14A1;IL5;CR1;SLC4A7;DEPDC5;ZBTB38;STIM2;EXTL2P1;FGFR1OP;TPCN2;C11orf73;ANKFN1;SLIT3;CCDC134;ZNF544;ISG20;LIPA;SOX4;HUNK;ELMO1;
Hereditary Breast and Ovarian Cancer Syndrome	RAP1GDS1;ADAMTSL3;FGFR1OP;DYSF;CTNND2;MICB;MARC1;MAX;TTC3;CCR6;BTBD9;ABCA1;MLN;PSORS1C1;KCNH8;SH3BP5;USP40;EEF1A1P14;RNASET2;C19orf62;CYP2C19;SAFB2;NOS1AP;SPRY2;MALT1;HMGA2;CYP2C18;IL2RA;GPC1;CHEK2;
Intervertebral Disc Degeneration	UBASH3A;GCK;RORA;MICA;ADAM19;ZNF385D;TIMM23;CHRDL1;RYR2;HLA-B;DUSP10;AHI1;HMGCR;NT5C1A;WDR72;CDK4;VSTM2B;HMGA2;TCHHL1;HNF1A;AMIGO2;LOC100131818;CDH4;LCE3D;NOS1AP;C1orf125;PTGER4;LRP1;PRKAG2;
Genu Varum	OR8S21P;RPS11;PLXNA1;WNT11;ANO6;TP63;BMPR1B;BICD1;FAT4;PTBP2;PTGFR;ATF1;DLG2;MALT1;PDLIM5;MDM4;PLEKHA1;RASGRP4;PDZK1;AK3;BTN1A1;ACOXL;ZNRD1-AS1;UBE2D1;
Speech Disorders	ICOS;FOXQ1;CSMD2;CCND2;OPA3;MTCH2;ABCG1;GIPR;NOD2;C8orf80;SLC14A2;INO80D;CCDC26;ASAH1;BMPR1B;ANGPTL6;PZP;SH3GL3;
"Keratosis, Actinic"	IRF4;EXOC2;CDK5RAP1;CDK10;SLC45A2;HERC2;MC1R;BNC2;TYR;EIF6;TNFSF14;FGFR1OP;CYP2C9;TSHR;DLG2;DBNDD1;HLA-A;CD163;PPIL6;VGLL3;CCR6;NOV;EXTL2P1;POU2F1;TAL2;BICD1;C15orf38;FOXL1;WDR7;MAFB;SIPA1L1;PARK2;LRP1B;
Chondrocalcinosis	CADM3;CD226;DENND1A;EPHA1;HLA-DRB1;GIPR;PDE3A;SELP;CMIP;MKL1;ZNF469;EREG;ABCA1;PID1;PCSK5;RFTN1;SLC12A9;CTAGE12P;CUBN;
Intracranial Hemorrhages	RORA;HCCS;SRPRB;TF;DPP6;QSOX2;LINC00340;CD33;IL7R;PSMA7P;C6orf106;C8orf80;CETP;RARB;POLR2A;SLCO3A1;MAPT;DOK2;DYM;RASGRF1;NRSN1;ATOH7;KCNE1;POU3F2;ACTA2;RPS6KB1;MCM8;CLU;PBLD;CADM2;ERCC4;NLGN1;HNF4A;MTNR1B;GPC5;SLC22A5;ULK4;GHSR;GLIS3;CCDC26;DOCK2;HTR4;DCDC5;MRAS;IL12RB2;TOPBP1;MYPN;HLA-DRB1;PTPRD;CHRNA3;BTNL2;SCN7A;GCOM1;COG6;STARD3NL;NEGR1;HLA-DRA;NAA25;TCHHL1;FRMD6;SOST;PLAG1;ABCB11;KATNAL2;
Prostatitis	C6orf10;BAG6;MSH5;LUZP2;RPS11;SCARB1;RNF186;CCHCR1;CDK5RAP1;NKX2-1;HIP1;MFHAS1;NCR3;LBH;TXNDC6;CRTC1;PCSK5;NOTCH4;C14orf102;CUEDC1;PDLIM5;BAT1;PPP2R5E;HLA-DQB1;PSORS1C1;MAST4;NIN;GLG1;EFCAB4B;TNXB;EIF6;BTBD9;AGXT2;TTC4P1;TBX5;BMP2;ATXN2L;PBX2;PDGFD;TMTC2;ABCB11;TNFRSF13B;HLA-DRA;TMEM229B;CDH4;IL27;SPPL3;BTNL2;MKL1;ANO6;ATL1;PRDM16;
Sciatica	RPS6KA4;MICB;C15orf38;BET1L;PRDX5;EXTL2P1;TNFRSF11B;PSCA;FAS;PRRX2;MCM8;RXRG;VCX3B;GPR65;MMEL1;CHRNB4;PSMG1;ATXN2L;GJA1;LINGO1;
Hypoglycemia	HLA-DRA;BTNL2;IL1RAP;HLA-DQB1;NKAPL;POU5F1;C13orf31;TNRC6B;NOTCH4;PBX2;MGC87042;PABPC4;SAE1;BIN1;ZNF746;MICB;BDNF-AS;SYT17;MBNL1;PBRM1;PDE4D;KIF11;FREM1;WDR72;LOC441167;ATP8B1;PANK1;CD180;UBE2D1;
Labyrinthitis	ABCA1;C20orf132;PTGFR;RPN2;TMED10;C11orf49;GNA15;SIN3A;IL17REL;SASH1;CRTC1;GPR35;C2CD4B;LOC133789;DNAH11;BET1L;IL5;CDKN1A;SLCO1C1;CENPF;FOXO3;IFIH1;NDFIP1;DLG2;IDS;O3FAR1;KIAA1462;ESRRG;PTPRK;PPP1R3B;
Gout	ABCG2;SLC2A9;SLC22A12;WDR1;ACBD4;NRSN1;CHRNA3;ACTN1;EXOC2;IGF2R;CMIP;APOA5;SLIT2;MBNL2;SLC16A9;FOXO6;SLC22A11;TTLL7;VCX3B;SLC12A7;NOS1AP;FAS;CDC42EP3;DUSP10;ARHGAP22;ATM;MACROD2;TBX5;TNFSF11;CAMSAP1L1;CHRNB4;NUP205;RFTN1;MAST4;FAM135B;MEF2C;RIT2;
"Abnormalities, Radiation-Induced"	PARD3B;ZNF746;STX6;EPB41L4A;ANK3;CD8B;NMUR2;RXRG;GRB14;KCNQ1;PAPD7;CLU;AGPAT3;MCTP2;C9orf72;DGKH;KIF13A;ZFP64;SDC4;EDA;C6orf106;NPLOC4;SOX17;CTBP2;
Urinary Bladder Neck Obstruction	IL12B;ATRIP;DIRAS2;DYNC1H1;FUT6;LRRC16A;CCND2;PTGFR;C14orf102;EDA;PEX5L;C6orf106;HNF1B;ZBTB40;NFE2L3;ACADL;PEX14;BCMO1;GNA12;KNG1;TNFAIP2;H2AFY;ZNF521;LHCGR;NOV;
Aphakia	STARD3NL;BMP2;POU3F2;TYK2;LOC100287944;ACCN1;CDH13;CCL21;FAM49B;CD58;IL23R;TSHR;TNFRSF1A;PLEKHA1;CUEDC1;HK1;ANK3;
Fever of Unknown Origin	FTO;SFPQ;CORO2B;ARHGEF3;HERC2;IL27;PXK;IL2RA;SOX17;HLA-B;CACNB2;CCL4L2;LOC285696;H2AFY;BLK;MSRA;COL13A1;SPEF2;NUBPL;CDH2;LMO4;KCTD2;
Umbilical cord ulceration and intestinal atresia	METTL1;CST5;ZNF536;MYH9;FLJ41733;AGXT2;SREBF1;F13A1;CLVS1;CRIM1;MYO1D;HLA-DRB1;WNT3;ARG1;C6orf170;FAIM2;BMP4;BCMO1;PDE7B;C10orf67;JAM2;C8orf42;NKX2-6;LRRC18;ARMC2;TBC1D30;CD276;PARD3;
Epilepsy	TCL1A;ATP13A2;CFI;PRKD2;SLC15A4;DUSP14;PALMD;SLC25A43;SOX5;NCOR2;MEG3;CPEB4;FAM155A;EFNA5;C10orf11;HOMER1;CFH;STAB2;BAZ1B;IFIH1;ADAM19;SLCO1C1;PCSK2;ABCC4;REL;C2CD4A;DCC;GSDMB;TNFAIP3;PARD6B;KCNIP1;CYP2C9;FCER1A;ZNF521;
Peptic Ulcer	IFI27L1;DBC1;ZNF536;PREX1;PRRX2;RAB11B;SLC22A12;RPS6KA4;FUT8;TNIK;CDKN2B-AS1;CDH4;ABO;LPHN1;IFIH1;FOXO3;UTS2D;ARHGAP31;CAAP1;ZNF462;THADA;FARP1;BACH2;SLC22A3;FGF1;PSCA;USP46;WWOX;GRB14;KLHDC8B;DNAH11;C6orf103;CACNB2;LOC100132612;FAM55B;SLC28A1;
Digestive System Diseases	AP3S2;UBASH3A;ADIPOR2;PCDH9;HHIP;TNNI3K;BMPR1B;DUPD1;EFEMP1;REL;FOXO3;TMPRSS6;TRAF3;SMAD3;C3orf1;FAM177B;FCER1A;TBX3;USP44;ABCA7;NPPC;CHRNA3;DBC1;MGC34034;TMEM175;FAM155A;PCSK5;STXBP5;ZNRD1-AS1;C15orf38;PANK1;RORA;NCAN;PSMG1;
Aphasia	PDZRN4;SALL4;MAPK1;CDKN2B-AS1;RASGRF1;CPEB4;CDKN2B;IL11;MYSM1;ADRB1;TNRC6B;ABO;SLC22A12;ZPBP;RBMS3;WNT10A;MKL1;C8orf80;IL2RA;SLCO1B1;
Hypotension	PSORS1C1;CDKN2B-AS1;PRKAG2;HDAC11;MEX3B;RGS1;CDKN2B;QKI;PPIL6;PRKG1;CHL1;MYO18B;FUT8;STXBP6;SLC46A3;DNAJC6;SPATA7;LAMB1;ISM1;CYP2C9;MUC22;UGT1A10;VCAN;SEZ6L2;ELMOD1;CCHCR1;CCL21;TMEM38B;TMTC2;EOMES;SLC17A4;MCPH1;SLC9A9;GHSR;TRPM8;LCORL;AGER;XPO7;
Hypoparathyroidism	SCAMP3;TRPT1;KCNQ1;BAD;BAK1;CDK10;MTMR3;WDR7;SPTLC3;TTC28;C15orf38;DNM1;ESR1;REV3L;ABCA1;BAI3;MC1R;MED13L;HELQ;MCPH1;DIP2C;PRPSAP2;
"Arthrogryposis multiplex with deafness, inguinal hernias, and early death"	CYP2C19;EFEMP1;BDNF-AS;OPA3;HIST1H3B;LYPLAL1;DNAI2;ARSB;EXOC4;DOCK3;UGT1A10;UGT1A1;CSF2RB;G6PC2;CAPZA1;PSORS1C1;HUNK;ADAP2;RGMB;TNFAIP2;PKNOX2;SCN5A;IRS1;TNFRSF11B;MGST3;PDGFRA;
Personality Disorders	CCL21;GATA3;BET1L;REL;PRKCE;ZNF365;CD226;C5orf36;ICOS;LBH;ICAM1;DGKH;PLTP;CNTN4;C6orf103;GARNL3;EXOC3L2;EHHADH;STAT6;FDPSP6;TMEM44;PRKCZ;PPIL6;PROX2;MAF;KCNIP4;CR1;
Esophageal Neoplasms	TRPT1;C6orf170;PHLDB1;TMEM57;SLC44A4;PAPL;ACTN1;DPP6;RELN;SEC16B;CD33;C6orf97;TRIB3;FLT1;CADM3;BAD;CDKAL1;TMEM50A;UBE2L3;MCPH1;SIN3A;PSORS1C1;C6orf15;FCER1A;AAK1;CHL1;
Psoriasis	HLA-C;HCP5;PSORS1C1;C6orf48;HLA-B;CCND3;IL12B;CCHCR1;MICB;RUNX3;VPS26A;HLA-DQB1;PLXNA1;REL;C6orf170;C6orf15;GP1BA;TNXB;MICA;TAGAP;EDC4;CRP;WNT3;TMED10;PDZK1;PTPRD;NSF;ANK3;PSMB8;VSTM2B;LINGO1;CRHR1;MAPT;GFOD2;PLEKHM1;RPL21;STXBP5;RFTN1;INS;HIP1;GRM8;BAK1;WDR12;IRF8;ZMIZ1;PSD3;MINPP1;NUTF2;IRF4;ARID5B;MGC87042;DYRK1A;NOTCH4;C6orf10;ZNF521;EFEMP1;SFPQ;NUCKS1;TRIM38;DLEU7;HLA-E;
Pharyngitis	MXI1;CRIM1;C16orf47;EXTL2P1;HOXC13;LRP1;CCDC60;KCNH8;CYP1A1;MPDU1;PCIF1;FOXP4;MAL2;PLTP;EDA;IMPA2;CMKLR1;CDC42EP3;MTCH2;TNFRSF11A;POLG;PLEKHA7;DIS3L2;UNC5C;LOC100505844;CYP1A2;KIAA0319;PRKG2;NFE2L3;CABLES1;DUT;ADH7;C10orf11;
Pediatric ulcerative colitis	LBX1;RPS11;BUD13;PID1;PUS10;PPP1R3B;CRP;RORA;PVRL2;IL1RAP;NT5C1A;ZMAT4;C3orf1;PKNOX1;EPS15;CDKN2B-AS1;XPO7;CCL4L2;CD276;SELP;RIPK2;ZNF248;CTNNA2;TSEN2;AIRE;SLC4A7;
Sinusitis	HOXC13;C16orf47;HHIP;CRTC1;HLA-DPB2;HLA-DQA2;HLA-DQB1;MXI1;TMED10;ITGA8;HCP5;ABCC4;UBASH3A;CCDC26;ANK3;MTHFD1;CYP1A2;POU5F1;DNM1;MTHFR;CYP1A1;L3MBTL4;HMG20A;
"Insomnia, Fatal Familial"	MTHFR;KRT18P32;PDE3A;RREB1;TOMM40;HLA-DRB1;EXTL2P1;ICOSLG;NXPH2;PCDP1;NAA25;CUBN;UQCC;NKAPL;UBE2L3;MTMR3;ESR1;DISC1;HLA-DQB1;NRGN;
Renal Osteodystrophy	ABCC4;MECOM;C14orf181;NPPC;AIRE;CACNB2;SCN5A;ZNF101;BRD1;NKAPL;FAM91A1;OR2M7;ANTXR1;SLCO1A2;HLA-B;TGM5;MBNL1;SKAP2;CUBN;C1orf125;IRF2BPL;PTPRD;
Meniere Disease	ADAMTS12;HNF1A;IBSP;ABCG8;CD226;GLG1;TSHZ2;GC;THADA;PRC1;HLA-DRA;BTNL2;IL12B;MYSM1;LOC650157;SCFD2;AP1G2;KCNT2;
Tricuspid Valve Insufficiency	CUBN;TYK2;VGLL4;WDR12;SLC14A2;FAM162B;RNF212;PRICKLE2;HELQ;IL7R;DGKQ;COL13A1;ATXN2;PSMD6;TRIB3;KCNC4;RNF5P1;KSR2;SNX16;
Adrenal Gland Diseases	DACH1;CTNNA2;EYA4;HLA-DRA;RIN2;PROX1;LHCGR;MMRN1;GRM8;CSMD2;PSCA;APBB1IP;SMOC2;TNRC6B;MTCH2;SASH1;DLG2;SLCO1C1;PRB2;SNCA;EPHA5;EDIL3;SHROOM3;MPPED2;
Dislocations	SLC28A1;DOK2;RIPK2;RFC3;PLEK;PRKCE;KIAA0090;SEMA3C;C6orf97;CD33;TBL2;PLCB1;STXBP6;C6orf15;PTPRD;ELOVL2;ACADL;TAB1;CRP;HIP1;DENND1A;GRIK5;DIP2C;DNAJC15;EXTL2;
Amblyopia	RGS1;STARD3NL;SNTB1;CD180;LCE3E;SHROOM3;TNFSF14;GCOM1;KCNH7;DLEU7;NR3C2;UBE2D1;CDT1;IFIH1;PVT1;ANGPTL6;MOBKL2B;ACSM1;ARPP21;CDCA7L;SLC6A13;
Overweight	TAL2;BCL11A;EEFSEC;MC4R;CDKN1A;DYNC1H1;SLCO1A2;ZNF706;ABCA1;CLSTN2;BDNF;PID1;CETP;CHRNA3;GALNT3;VSTM2B;RERE;IDS;CAMKK1;MAP2K5;GLTSCR1;C13orf31;FRMD6;RIT2;FTO;
Atrial flutter	CYP20A1;FOXE1;LOC100289473;DGKH;C9orf72;RGS1;FHIT;KIAA1109;ADK;SLC34A1;DENND1A;ANKS1A;ICAM4;ZDHHC19;MOBKL2B;IRF5;STAT4;BTN1A1;ADAMTS20;DOCK8;ABCG1;CTSH;EPHA10;NXPH2;CYP2C9;
Orbital Cellulitis	KIAA1109;PVT1;ELOVL2;NOS1AP;RBFOX1;NEIL3;SPPL3;TMEM56-RWDD3;LEF1;SLC22A3;CXCL12;CLVS1;SERPINH1;SP140;FOXE1;WDR66;OSBPL10;ACCN1;TRIM10;CMTM8;PCIF1;PSCA;C20orf194;BCL11A;ITGAX;SIAE;TOPBP1;PCSK2;
"Polydipsia, Psychogenic"	ATE1;FGB;PRICKLE2;PHGDH;ARSB;IL26;CUBN;CDRT4;HHIP;EPC2;PPP2R2B;ITGA6;PLA2G6;THADA;CAST;HLA-DOA;WDR41;SPON1;SALL3;CD53;SLC8A3;MLPH;
Cardiomyopathies	MTAP;CDH13;MTHFD1;STAT6;KCNC4;ZPLD1;FSHR;THRB;PRKAG2;DYRK1A;LOC100505844;PPP2R2B;HNF1B;MGC45800;CDKN1A;KCNQ1;GNG4;C15orf38;PBX1;DSC3;NFE2;CD86;ELMO1;MCF2L;FTO;STARD9;RELN;HLA-DRA;ESR1;PVT1;RGS14;SLC25A36;MYO1D;SLCO1B1;TRIB3;DKK1;PLCE1;CAST;CTNNBL1;WNT4;CD226;
Obsessive-Compulsive Disorder	IL26;PLCL1;H2AFY;EHHADH;TOPBP1;UBASH3A;ATP8B3;SLC30A7;POU4F1-AS1;NKAIN2;ADARB2;UNC13A;ICAM1;WDR37;LYPLAL1;INS;NAALADL2;HLA-DPA1;SLC26A3;ABCA1;ZNF259;USP44;APOA5;ITIH1;
Pneumoconiosis	IRF4;BTNL2;PICALM;TF;MSH5;BAG6;SOX5;PLCB1;ZBTB46;ZBTB38;BLK;CYP26A1;THADA;KCNQ1;PKDCC;CDH4;BAT1;CYP2C19;ARL6;CCDC60;ATP2B1;
Hidradenitis	SUPT3H;MEG3;AGPHD1;HCG9;TTC28;EGFR;CHRNA3;SPATA7;MCPH1;TBC1D4;CGNL1;SEC16B;SLC22A3;ICOS;CHEK2;CSRP2BP;
Liver Abscess	ADRA2A;SCFD2;ZNF93;DOK2;POU2F1;KCNQ1;TRAF3;TNFAIP3;ADRB1;C3orf38;CLEC2D;PTPRD;STX4;FUT2;VKORC1;CNTN4;IL22RA2;RPN2;
Essential Tremor	RYR2;BST1;KIAA1598;LIN28B;RAB3GAP1;PLEKHA1;TAL2;MEIS1;ABCB11;SLC9A9;LRRC4C;BLK;LRRN4;GABBR1;ARL14;MERTK;NCAM2;BDNF;CNTN5;SGCD;C8orf12;BAT2;REL;CDKAL1;SLC22A1;SLC22A3;BAG6;TBC1D30;CNTNAP5;ACBD4;
Exophthalmos	NRG3;C8orf80;GLT25D2;INSR;DNM3;PDE4D;NUCKS1;PLXDC2;SLC14A2;DCP1B;DCC;IL33;GC;BMP6;TNFSF13;LASS6;CYP1A2;NYNRIN;CSK;PUS10;
"Diabetes Mellitus, Type 3"	TCF7L2;HLA-DQB1;HLA-DRB1;HLA-DRA;CDKAL1;HLA-DQA2;IL1RAP;HLA-DPA1;HHEX;FTO;BTNL2;SEC14L1;CKAP5;SLC30A8;PDE4D;MTHFD1L;CHRNA3;BAT2;C6orf10;CENPW;PABPC4;SRPRB;MFHAS1;BAG6;CDKN2B-AS1;RASGRF1;PBX1;AGPHD1;PROX1;C6orf97;GATA2;KIRREL3;EFHD1;LRP4;IRS1;DNAH5;SCARB1;SETD7;GABRB3;IL18R1;CFH;SLC14A2;PLEKHA1;C3orf1;UBE3C;COL4A1;C6orf204;SLC4A7;NR1H3;SCG3;HCG9;FAIM2;HLA-F-AS1;FREM1;CRIM1;EGFR;GIPR;TOMM40;
Sarcoidosis	MYRIP;HLA-DQB1;CCHCR1;ZPLD1;LRP4;PSORS1C1;LEPR;WTAP;BUD13;SPATA7;BAG6;MSH5;GHR;CFH;NOTCH4;CXCR5;WDR7;IVD;EPS15;SLC6A1;PRKAG2;PPIL6;IL1RL1;TRIB3;PID1;IL7R;
Testicular Diseases	UMOD;GLG1;MLPH;STIM2;BICD1;JMJD1C;DENND1A;NOD2;BARD1;PLEK;ABCA1;GPM6A;NXPH2;CACNB3;SIK3;CYP19A1;CHD1L;HHIPL1;TRAF1;SOX5;C2CD4A;NOTCH4;GPLD1;WNT3;PHF19;MACROD2;SOCS2;CST5;CCR4;CD40;HHIP;PLCE1;PROX2;BCO2;TTC7B;HLA-DRA;RORA;PLCB1;HIP1;
Appendicitis	TCF4;AMIGO2;RHOU;CXCL12;CYP1A1;MORN2;PAPL;IL12A;BAK1;UBE2D1;CPVL;KIFAP3;KITLG;CRP;TMCO1;MGST3;EHF;GATA3;SLC14A2;ICAM1;ZNF536;CDT1;LCORL;IRF2BPL;
"Foot Deformities, Acquired"	THRB;USP25;TSHZ2;RPS11;VRK2;IL23R;FOXE1;PPP3CA;ATG16L1;PRKAG2;ZNF767;ANO3;DISC1;TNFSF14;DLG2;TNFRSF11B;KLHDC8B;ATRIP;DPP6;KIRREL3;SLC22A1;FOXQ1;
Renal Colic	NOG;ARHGAP10;WDR64;NCAM1;GCKR;RORA;LAMP3;PKNOX2;SLC14A2;IL28RA;C15orf32;RPS6KB1;ARL5B;ADAMTS20;NOS1AP;ATP2B2;PRDM16;MSMB;NCKAP5;
Epistaxis	SGCD;SUPT3H;SHROOM3;SCN5A;CUBN;CEP152;KDM4C;UBE3C;TOMM40;CDKN2B-AS1;ABO;SCN7A;CYP2C9;PDGFD;DLEU7;MTAP;TGFA;TM7SF4;CHRNB4;PSD3;TSHR;LOC441167;SGSM2;EFHD1;TF;HLA-B;C9orf5;
Dry Eye Syndromes	UTS2D;TOMM40;ANKRD55;KITLG;STARD3NL;ERAP1;GLIS3;EDNRA;PLEK;SALL1;CRHR1;REL;CDKN2B-AS1;WDR65;ZNF365;HOXC13;KCNB2;CENPC1;PVR;WDR37;PEX14;
Hemorrhagic Septicemia	DTNB;PC;SFPQ;ZNF536;SLC44A4;STXBP5;RAD21L1;NOV;ITGA8;NOS1AP;TMEM196;OSBPL1A;FTO;CABLES1;CCHCR1;WDR64;C8orf47;DNAJC6;ICOSLG;TYK2;FGFR1OP;CCT7P2;
Emphysema	CHRNA3;AGPHD1;C6orf183;RHPN2;G6PC2;CD86;GCKR;C12orf28;PARK2;CDH4;PCSK2;PHLDB1;SOST;CADM3;CHIC2;VWA5A;CDCA7L;NFIA;RHOD;CHRNB4;DBNDD1;KSR2;ARL5B;PI16;DLG2;ZDHHC19;CUBN;CDKAL1;
Osteitis Deformans	LINC00340;MYO1D;EDA;IGF2BP1;WDR12;CYP1A1;EFHA2;CUBN;MCM8;TMEM38B;ABO;RERE;RIMS1;
Hirsutism	IKZF2;NOV;MARC1;EPS15;SLC2A9;TBC1D30;BHLHE40;AK3;EFNA5;FUT8;HCCS;FOXE1;MAPT;LRRC16A;CD53;SCARB1;LDHA;
"Corneal Degeneration, Ribbonlike, with Deafness"	PSORS1C1;MC1R;MAFB;MARCH8;ZNF365;STX6;C14orf181;CHL1;RPS6KB1;GPLD1;RPL22P13;LINGO1;SLC44A4;EDIL3;ANXA9;CYP2C9;CDKN1A;TGFA;NFAT5;GSDMB;TSEN2;KIRREL3;HLA-C;ZFP36L1;PRKCZ;ABCC4;
"Heart Failure, Systolic"	GTF2E2;ZDHHC19;NRXN3;GATA3;NRGN;LEF1;TIMP2;ESR1;LDLR;MCCC1;MCF2L;PTPN2;CD33;CR1;TNFAIP3;LOC391642;CD86;
Migraine Disorders	TMEM18;SDK1;CYP2C19;PLXDC2;PRKCE;RYR2;TNPO3;GSDMA;SGCD;GABRB3;MUC1;CRHR1;PZP;IRF1;IL23R;NCKAP5;EREG;MAPT;VSTM2B;MS4A4A;WDFY4;FGF1;CUBN;CDH8;NRG1;PCSK2;PLEKHM1;CYP2C9;
Alopecia Areata	FGFR1OP;VGLL4;CCR6;LCORL;ZNF93;KATNAL2;VPS26A;ELMO1;MYP11;RNASET2;CHL1;TNFSF4;BIN1;CCL21;LRP1B;CENPC1;ATP5SL;SLIT3;TCHHL1;PSMA7P;RXRG;GCK;SF1;PKN2;SH3GL2;CDH13;C6orf129;NUBPL;
Crohn Disease	FADS1;NKX2-3;FADS2;C11orf10;NOD2;NBPF3;ATOH7;ZBTB38;B3GNT2;PANK1;CHIC2;TNFRSF1A;DUSP10;SFPQ;HOXC13;EPDR1;SLC30A8;NFKBIA;ZNF248;NR5A2;PCDH9;EDNRA;WDR1;DAAM2;MYPN;PRRX2;
"Hypertension, Pregnancy-Induced"	ODF3B;GDA;DPP6;SLC14A2;EFNA5;TUSC1;TYMP;ZBTB12;C5orf36;VGLL3;KCNIP4;MYO1D;CARD9;HSD17B6;PKNOX2;C13orf31;CSMD1;ADAM19;PVR;TF;ARHGAP26;
Arthralgia	LINC00340;EHHADH;GP1BA;BAK1;LBH;PUS10;KCNIP1;KCNC4;PITX1;RPS26;FAM91A1;SASH1;PML;HDAC11;C20orf194;IKZF4;
"Conjunctivitis, Allergic"	REL;TMCO1;MXI1;AKD1;ST6GAL1;UNC5C;PDE4D;GLI3;SLC14A2;C8orf80;IL26;MTAP;PZP;STX6;DOCK8;DOCK7;TRIM24;LAMB1;CLECL1;C8orf47;PVT1;TSHZ2;SOX5;SGCD;LARP6;NAV2;SNCA;PDZRN4;
Schizophrenia	TOMM40;NAALADL2;KCNB2;SASH1;BARD1;MAPT;MRPS30;GCK;SMAD3;DUPD1;PTPRD;TOPBP1;PPIL6;GRIN2B;SLC30A8;IMPA2;CCHCR1;ATP8B1;RBMS1;CRTAC1;EPHA5;CSF2RB;SNX16;DKKL1;CST5;C6orf97;TYR;EPC2;MAP3K1;KCNC4;REL;FGFR2;BMPR1B;ADAMTS9;ICOSLG;SFPQ;CAAP1;CACNB2;TF;NOD2;PECAM1;PLXNA1;SLC24A4;BBX;SH3GL3;WDR7;TRIM58;ANO3;TGM5;ZNF93;HELQ;KLK3;NLGN1;
Hyperthyroidism	FOXE1;PLCL1;FAM155A;LPP;RPS6KB1;DUSP14;GZMB;MEX3B;ADAMTS14;BCL11A;RREB1;GPC5;HPR;DNM1;HLA-DQB1;CMAS;CCHCR1;CLEC16A;SIPA1L1;DAB2IP;GRIK1;PTTG1;IKZF4;FONG;
Erythema	ZMIZ1;CAPN5;LIPG;DEPDC5;ATOH7;TTC3;MS4A6A;CRP;RAB3GAP1;MST1;HLA-DQA2;MMP24;PRDM16;MS4A4A;CD36;PKHD1;PPP1R3B;PADI4;ZNF746;DOCK2;LRP4;SLC25A36;
