Disease name	List of shared genes
Knee Dislocation	IL23R;SOCS2;PLEK;SDC4;TOX3;SLC34A1;SLC24A4;ZMIZ1;TSHZ2;CTNND2;HNF1B;IRGM;PAQR4;SLC28A1;ELOVL2;CMTM8;TRIB3;MYH9;TRIM24;DIS3L2;PAK2;DUSP23;
Erectile Dysfunction	C11orf49;CDKN1A;WDR64;PDS5B;FAM49B;MTCH2;PDE3A;BCL11A;ERCC4;TMCC2;MPPED2;EFNA5;HLA-DQB1;RNF186;LRP1B;AGER;RFX6;NCF4;ST3GAL4;SGCD;C8orf84;CRIM1;IL7R;BIN2;GIT1;RNF213;
Colles' Fracture	IL23R;GNA15;FRAS1;ABCA1;COL13A1;MYPN;LOC387933;RAD51B;ZNF101;SIAE;SPRED2;CUBN;BNC2;DARC;TF;NNMT;EPS8;BET1L;PRF1;ADAMTS12;CR1L;PBLD;ATF1;DGKQ;
Diabetic Retinopathy	TCF7L2;HLA-DQB1;CNTN4;SEC14L1;PABPC4;TAB1;RBBP6;HHEX;CDKAL1;BAT2;HLA-DPB1;C6orf97;AGBL1;NOTCH4;MAPT;MS4A6A;HLA-DRA;CFH;ZNF746;PVRL2;BAG6;LOC100505844;HLA-C;RNF213;C8orf47;MS4A4A;IRS1;KIF11;MSH5;ATG16L1;PSMA7P;LRRC58;ABCA1;BTD;TNXB;IKZF1;
Hypercalcemia	EXOC2;CUBN;ZNF544;C1orf81;ZNF767;SOX17;MMEL1;MPDU1;G6PC2;SLCO3A1;ESR1;CR1L;NFIA;TNFSF13;ISG20;TNFRSF11A;SLC28A1;FLJ32955;BET1L;NLRP3;TNFAIP3;IL23R;
Tauopathy and Respiratory Failure	TYK2;KCNMA1;FGF12;SH3GL2;NOTCH4;FOXG1;SHISA9;JAZF1;PCIF1;CCHCR1;IL7R;PKD2L1;SREBF1;CCL4L2;DYRK1A;SASH1;SPIB;MECOM;ZNF157;MPP7;O3FAR1;TMEM196;CREB5;VRK2;HCP5;MLN;PCSK9;BLK;DARC;PREX1;RFX6;HLA-C;SOCS6;DGKH;GPR65;C6orf48;SVEP1;KCNE3;IRF8;SLC44A4;HLA-B;ZFP36L1;UGT1A1;EIF3H;IL2RA;CLPTM1L;UGT1A10;
Pruritus	BHLHE40;LIPG;HELQ;SIK3;ZBTB38;RERE;ZNF492;GIPR;MALT1;DENND4A;HOXC13;PDE3A;POU4F1-AS1;HHIPL1;JAZF1;NAALADL2;SRR;C6orf106;RHPN2;CDK6;SLC17A1;CAAP1;GRM8;MPDU1;SLC8A3;LOC441167;LMX1B;GPR35;PKDCC;STOML3;
Eosinophilia	SLC17A1;HFE;HLA-DQB1;LRRC4C;SIAE;CORO2B;ESR1;BTNL2;PECR;TRIM38;HLA-DQB2;LRRC16A;HLA-DQA2;NSF;FRMD6;PML;IFIH1;HTR4;TNXB;KIAA1217;
Hypocalcemia	IL17REL;SPRED2;FADS2;FADS1;CELSR2;WTAP;C11orf10;SLC6A6;ZNF706;RBMS3;PTPN22;VGLL3;PLEKHA7;KCNQ1;VPS41;ESR1;FGB;LASS6;
Warts	PCDP1;STX6;H2AFY;EXOC2;DPP6;HLA-F-AS1;NCAN;HCG9;KIRREL3;C10orf11;MMP24;GLYATL3;C3orf38;C4BPB;CAPN5;BLK;SLC27A1;MOBP;MICB;JAG1;FRMD6;MAST4;WDR37;SLC22A5;DYRK1A;POLR2A;HLA-A;PVT1;
"Liver Diseases, Alcoholic"	CD180;CCHCR1;TRAF3IP1;NPPC;RXRG;SCN5A;C10orf122;ADRA2A;JUN;CPVL;NAB1;HSD17B6;EMBP1;C1QTNF6;C6orf106;CHL1;ARAP1;DLEU7;SEMA3C;ITGA8;FGF10;CACNA1S;ETV6;SLC30A7;PVT1;AMIGO2;SLC25A43;NEIL3;
